key,value,date
Construction and Extraction Occupations,8,4/1/15
Construction and Extraction Occupations,10,5/1/15
Construction and Extraction Occupations,10,6/1/15
Construction and Extraction Occupations,14,7/1/15
Construction and Extraction Occupations,24,8/1/15
Construction and Extraction Occupations,23,9/1/15
Construction and Extraction Occupations,0,10/1/15
Construction and Extraction Occupations,0,11/1/15
Construction and Extraction Occupations,0,12/1/15
Construction and Extraction Occupations,0,1/1/16
Construction and Extraction Occupations,0,2/1/16
Construction and Extraction Occupations,0,3/1/16
Construction and Extraction Occupations,20,4/1/16
Construction and Extraction Occupations,22,5/1/16
Construction and Extraction Occupations,20,6/1/16
Construction and Extraction Occupations,21,7/1/16
Construction and Extraction Occupations,18,8/1/16
Construction and Extraction Occupations,26,9/1/16
Construction and Extraction Occupations,33,10/1/16
Construction and Extraction Occupations,28,11/1/16
Construction and Extraction Occupations,38,12/1/16
"Installation, Maintenance, and Repair Occupations",0,1/1/11
"Installation, Maintenance, and Repair Occupations",0,2/1/11
"Installation, Maintenance, and Repair Occupations",0,3/1/11
"Installation, Maintenance, and Repair Occupations",0,4/1/11
"Installation, Maintenance, and Repair Occupations",0,5/1/11
"Installation, Maintenance, and Repair Occupations",0,6/1/11
"Installation, Maintenance, and Repair Occupations",0,7/1/11
"Installation, Maintenance, and Repair Occupations",0,8/1/11
"Installation, Maintenance, and Repair Occupations",0,9/1/11
"Installation, Maintenance, and Repair Occupations",0,10/1/11
"Installation, Maintenance, and Repair Occupations",0,11/1/11
"Installation, Maintenance, and Repair Occupations",7,12/1/11
"Installation, Maintenance, and Repair Occupations",16,1/1/12
"Installation, Maintenance, and Repair Occupations",13,2/1/12
"Installation, Maintenance, and Repair Occupations",2,3/1/12
"Installation, Maintenance, and Repair Occupations",0,4/1/12
"Installation, Maintenance, and Repair Occupations",0,5/1/12
"Installation, Maintenance, and Repair Occupations",0,6/1/12
"Installation, Maintenance, and Repair Occupations",0,7/1/12
"Installation, Maintenance, and Repair Occupations",0,8/1/12
"Installation, Maintenance, and Repair Occupations",0,9/1/12
"Installation, Maintenance, and Repair Occupations",0,10/1/12
"Installation, Maintenance, and Repair Occupations",0,11/1/12
"Installation, Maintenance, and Repair Occupations",0,12/1/12
"Installation, Maintenance, and Repair Occupations",0,1/1/13
"Installation, Maintenance, and Repair Occupations",0,2/1/13
"Installation, Maintenance, and Repair Occupations",0,3/1/13
"Installation, Maintenance, and Repair Occupations",0,4/1/13
"Installation, Maintenance, and Repair Occupations",1,5/1/13
"Installation, Maintenance, and Repair Occupations",2,6/1/13
"Installation, Maintenance, and Repair Occupations",6,7/1/13
"Installation, Maintenance, and Repair Occupations",6,8/1/13
"Installation, Maintenance, and Repair Occupations",6,9/1/13
"Installation, Maintenance, and Repair Occupations",0,10/1/13
"Installation, Maintenance, and Repair Occupations",0,11/1/13
"Installation, Maintenance, and Repair Occupations",0,12/1/13
"Installation, Maintenance, and Repair Occupations",0,1/1/14
"Installation, Maintenance, and Repair Occupations",0,2/1/14
"Installation, Maintenance, and Repair Occupations",0,3/1/14
"Installation, Maintenance, and Repair Occupations",8,4/1/14
"Installation, Maintenance, and Repair Occupations",8,5/1/14
"Installation, Maintenance, and Repair Occupations",4,6/1/14
"Installation, Maintenance, and Repair Occupations",5,7/1/14
"Installation, Maintenance, and Repair Occupations",4,8/1/14
"Installation, Maintenance, and Repair Occupations",1,9/1/14
"Installation, Maintenance, and Repair Occupations",0,10/1/14
"Installation, Maintenance, and Repair Occupations",0,11/1/14
"Installation, Maintenance, and Repair Occupations",0,12/1/14
"Installation, Maintenance, and Repair Occupations",0,1/1/15
"Installation, Maintenance, and Repair Occupations",0,2/1/15
"Installation, Maintenance, and Repair Occupations",0,3/1/15
"Installation, Maintenance, and Repair Occupations",18,4/1/15
"Installation, Maintenance, and Repair Occupations",30,5/1/15
"Installation, Maintenance, and Repair Occupations",22,6/1/15
"Installation, Maintenance, and Repair Occupations",31,7/1/15
"Installation, Maintenance, and Repair Occupations",21,8/1/15
"Installation, Maintenance, and Repair Occupations",25,9/1/15
"Installation, Maintenance, and Repair Occupations",0,10/1/15
"Installation, Maintenance, and Repair Occupations",0,11/1/15
"Installation, Maintenance, and Repair Occupations",0,12/1/15
"Installation, Maintenance, and Repair Occupations",0,1/1/16
"Installation, Maintenance, and Repair Occupations",0,2/1/16
"Installation, Maintenance, and Repair Occupations",0,3/1/16
"Installation, Maintenance, and Repair Occupations",20,4/1/16
"Installation, Maintenance, and Repair Occupations",19,5/1/16
"Installation, Maintenance, and Repair Occupations",44,6/1/16
"Installation, Maintenance, and Repair Occupations",25,7/1/16
"Installation, Maintenance, and Repair Occupations",26,8/1/16
"Installation, Maintenance, and Repair Occupations",26,9/1/16
"Installation, Maintenance, and Repair Occupations",35,10/1/16
"Installation, Maintenance, and Repair Occupations",23,11/1/16
"Installation, Maintenance, and Repair Occupations",20,12/1/16
Legal Occupations,0,1/1/11
Legal Occupations,0,2/1/11
Legal Occupations,0,3/1/11
Legal Occupations,0,4/1/11
Legal Occupations,0,5/1/11
Legal Occupations,0,6/1/11
Legal Occupations,0,7/1/11
Legal Occupations,0,8/1/11
Legal Occupations,0,9/1/11
Legal Occupations,0,10/1/11
Legal Occupations,12,11/1/11
Legal Occupations,15,12/1/11
Legal Occupations,14,1/1/12
Legal Occupations,9,2/1/12
Legal Occupations,26,3/1/12
Legal Occupations,0,4/1/12
Legal Occupations,0,5/1/12
Legal Occupations,0,6/1/12
Legal Occupations,0,7/1/12
Legal Occupations,0,8/1/12
Legal Occupations,0,9/1/12
Legal Occupations,0,10/1/12
Legal Occupations,0,11/1/12
Legal Occupations,0,12/1/12
Legal Occupations,0,1/1/13
Legal Occupations,0,2/1/13
Legal Occupations,0,3/1/13
Legal Occupations,8,4/1/13
Legal Occupations,18,5/1/13
Legal Occupations,8,6/1/13
Legal Occupations,13,7/1/13
Legal Occupations,6,8/1/13
Legal Occupations,11,9/1/13
Legal Occupations,0,10/1/13
Legal Occupations,0,11/1/13
Legal Occupations,0,12/1/13
Legal Occupations,0,1/1/14
Legal Occupations,0,2/1/14
Legal Occupations,0,3/1/14
Legal Occupations,25,4/1/14
Legal Occupations,20,5/1/14
Legal Occupations,48,6/1/14
Legal Occupations,19,7/1/14
Legal Occupations,23,8/1/14
Legal Occupations,20,9/1/14
Legal Occupations,0,10/1/14
Legal Occupations,0,11/1/14
Legal Occupations,0,12/1/14
Legal Occupations,0,1/1/15
Legal Occupations,0,2/1/15
Legal Occupations,0,3/1/15
Legal Occupations,17,4/1/15
Legal Occupations,18,5/1/15
Legal Occupations,11,6/1/15
Legal Occupations,26,7/1/15
Legal Occupations,17,8/1/15
Legal Occupations,24,9/1/15
Legal Occupations,0,10/1/15
Legal Occupations,0,11/1/15
Legal Occupations,0,12/1/15
Legal Occupations,0,1/1/16
Legal Occupations,0,2/1/16
Legal Occupations,0,3/1/16
